date,Close,High,Low,Open,Volume
Ticker,ACN,ACN,ACN,ACN,ACN
Date,,,,,
2023-01-10,260.3912353515625,261.6793313094338,256.924778797687,258.8853206763454,1853000
2023-01-11,267.3049011230469,267.4095253667763,261.247084856159,261.45630432163625,2382400
2023-01-12,269.9296875,273.857290874346,268.53172746882575,268.8835900239537,2482500
2023-01-13,268.3130187988281,268.8075244157445,265.3078792299073,266.582205606642,2226800
2023-01-17,270.9187316894531,273.6480753561777,268.5032027591104,269.16890907772006,2863700
2023-01-18,264.2807312011719,273.20104283681604,263.40583461416713,270.63335224308355,2192700
2023-01-19,259.5163269042969,265.27933845853534,259.2310117744726,263.6911683996022,2212500
2023-01-20,266.7248229980469,267.2954242069513,259.4402181845261,261.04739756231504,3306600
2023-01-23,265.65020751953125,269.00720945465554,263.83380859401296,264.90843462520303,2593300
2023-01-24,261.39923095703125,264.4899557203804,259.60187072454386,263.14905318656673,2205300
2023-01-25,259.7731018066406,260.3341838709753,252.6406584129153,257.47168730192453,2576300
2023-01-26,260.8192443847656,263.73876966178665,257.5953654830827,263.58663638244286,1942600
2023-01-27,263.6816711425781,265.72632816627566,259.5638865259977,259.86821108102083,2101100
2023-01-30,260.8761901855469,263.8528004483383,259.91567876577636,260.1629460275737,1732900
2023-01-31,265.37445068359375,265.37445068359375,260.48636422984634,261.4658853630401,1841800
2023-02-01,269.7014465332031,271.2895875658605,262.18861248655077,263.04449982974177,1797000
2023-02-02,279.6869201660156,281.2940999283431,272.8017142359651,275.23628191125795,2715900
2023-02-03,275.0460510253906,275.48349944766665,272.7066176099294,274.09505852879806,2168000
2023-02-06,270.5382995605469,273.69557193527334,269.54925944382273,271.98379740654235,1262400
2023-02-07,273.71466064453125,274.694181731201,268.65537372103864,268.84558382450325,1401100
2023-02-08,270.75701904296875,275.00795593299694,270.0628132138434,271.86969284241843,1381800
2023-02-09,271.18499755859375,275.1981866665924,270.48127246627627,273.33424967986815,1752000
2023-02-10,270.0437927246094,270.6239131777789,267.2478727577553,267.89456964394157,1347600
2023-02-13,274.2186279296875,274.2756851443518,270.43366823239455,270.43366823239455,1284500
2023-02-14,270.8140563964844,274.01892470255854,269.4636636347856,271.4797625896468,1821100
2023-02-15,273.5529479980469,273.72411965847715,268.1513183299217,268.1798469399934,1890200
2023-02-16,267.4380798339844,271.470278261813,264.9845322488584,269.1593737301273,1899200
2023-02-17,263.4724426269531,265.7072806546097,261.43733390656666,265.11766998816114,2722400
2023-02-21,255.95960998535156,259.7635797537298,255.60774742529438,258.6699442497183,2446200
2023-02-22,256.4160461425781,259.13587005903014,255.01808636802974,257.36703839677483,1823800
2023-02-23,257.9376525878906,258.9551922945947,254.68524614451465,257.50017523302745,1885500
2023-02-24,253.46798706054688,254.29534575231133,251.2902064771558,254.29534575231133,1735000
2023-02-27,253.20176696777344,256.7584698251855,252.45999393809956,255.73141063870995,1512900
2023-02-28,252.53599548339844,255.33191518738647,249.87322863292505,251.71815603003233,2160400
2023-03-01,250.67208862304688,252.93545522722897,248.92226605206224,252.02251062975557,1700500
2023-03-02,252.26025390625,253.14466987506046,248.79862763152948,250.94787974763585,2278300
2023-03-03,256.0071716308594,256.50167724242255,252.9544650601753,254.7803832802292,1596100
2023-03-06,256.4160461425781,258.71743114542517,255.8929829895817,256.9581186927456,1649100
2023-03-07,251.25221252441406,256.8060048530824,250.78620649707665,256.0261840923826,2219300
2023-03-08,250.73861694335938,252.57402499734837,249.62594325527417,250.51987828071563,1462700
2023-03-09,247.02980041503906,253.6296901345048,246.04076017164752,252.80230235027258,1949800
2023-03-10,240.5535125732422,247.58134547516465,239.2696816044395,247.3911644179254,2924600
2023-03-13,238.99391174316406,242.75032904134122,237.02536490539248,240.70570106578714,3232100
2023-03-14,240.1065673828125,244.1482997670828,237.71007687998429,243.8059273969724,2925600
2023-03-15,234.1057891845703,235.81757834694093,230.90094955209858,235.8080736472304,4508000
2023-03-16,240.5250244140625,241.3619024682114,231.59520530606704,232.94561293190196,4119600
2023-03-17,237.74810791015625,243.197290480379,236.2455381268449,241.8659068804793,6470800
2023-03-20,240.1731414794922,241.44746785507434,237.75761257730636,238.43282358851377,3182100
2023-03-21,244.99464416503906,245.83152207519535,241.49499928800665,242.38893441731148,2831200
2023-03-22,240.85784912109375,248.51334084043216,240.62960572122176,244.65231401963342,3059300
2023-03-23,258.34661865234375,261.1520290340077,246.59233659669948,246.73500868521404,5166900
2023-03-24,258.6699523925781,258.7460190206663,251.84183340866858,257.1959256697241,4123600
2023-03-27,260.5339050292969,260.9142962363686,257.37663189081155,257.46221773575354,3743800
2023-03-28,261.52288818359375,262.6260427582061,259.24051241838794,260.495829246945,2869400
2023-03-29,266.2208557128906,266.5251802929611,262.4739427589923,262.4739427589923,2431500
2023-03-30,268.8075256347656,269.168907404222,267.0196552102884,267.2288747072376,2293600
2023-03-31,271.8031311035156,271.9457741567997,268.759943864195,269.2449592673452,3009300
2023-04-03,271.8316345214844,272.4212451017378,269.28298213239725,269.5017208084836,2417300
2023-04-04,271.8316345214844,273.3437087901289,270.29103164482694,270.5002511109151,2331700
2023-04-05,267.5426940917969,272.8397290214514,267.14329351376125,272.21207051969463,2443200
2023-04-06,267.8945617675781,268.4080767506483,265.1937179021728,266.9055215783586,2125300
2023-04-10,267.87554931640625,267.92311635262473,262.81626246111756,264.36638481529695,1575900
2023-04-11,272.29766845703125,273.56250472831385,268.70291798505025,269.14039542879567,3122500
2023-04-12,270.91326904296875,275.58186765048066,270.13038612360754,275.33365851054623,2656000
2023-04-13,272.35491943359375,272.4981517706031,267.05619704278877,270.1876999617126,3164200
2023-04-14,266.6074523925781,272.04940667412944,265.20400286539586,270.46455672849885,2871700
2023-04-17,267.304443359375,269.0611373288854,266.15875944467365,266.15875944467365,2899000
2023-04-18,267.2853088378906,268.6696743629812,265.80549394082135,268.6219205410419,1893800
2023-04-19,267.22802734375,267.3235058516013,264.9462454266392,266.1778220292859,2204700
2023-04-20,263.07501220703125,265.00357938679576,261.59519701697445,264.7267003997686,2686100
2023-04-21,263.8196716308594,265.2517619818022,262.93178260590355,263.2468587992445,1600700
2023-04-24,264.6979675292969,265.0512117331392,262.41615681764074,263.31360221245706,1359700
2023-04-25,258.444580078125,264.18246885905273,258.3395449698139,263.3709451775579,1935400
2023-04-26,258.93145751953125,261.1846280074151,257.9672032258078,259.5424966809746,2009400
2023-04-27,262.97955322265625,263.97244828481615,258.56869018593693,261.45198425693115,1983600
2023-04-28,267.6004333496094,267.7340799760963,261.3278700991456,261.3278700991456,2084500
2023-05-01,266.769775390625,267.23758219932245,264.88896242837757,266.45469923035756,1165600
2023-05-02,264.2110900878906,267.6863096880108,261.6237885711541,267.1898330960221,1728300
2023-05-03,262.72174072265625,266.9225332454448,262.37805302473345,265.5286401328367,1951200
2023-05-04,254.43467712402344,261.385086650754,253.65179420178356,260.9077232790391,2586200
2023-05-05,253.62322998046875,258.13909932644395,252.42029373375257,257.03161247407087,2592700
2023-05-08,252.8307647705078,254.91206225622642,251.5323211379092,253.97641947885316,1843000
2023-05-09,251.55145263671875,252.51570698765815,249.83292674515025,251.0454485481022,2712000
2023-05-10,256.71649169921875,257.69030250250927,252.44886192958796,253.81411419959923,2800200
2023-05-11,259.94342041015625,260.10573676415845,256.03859181928675,258.07216429172263,2915700
2023-05-12,264.6407470703125,264.74575304220156,260.16307565747826,260.76455825561305,2664400
2023-05-15,264.9462585449219,265.9200694469413,262.1870839519397,263.8005746658802,2762700
2023-05-16,266.5501708984375,267.991817653572,263.8482778064681,264.5452388418273,2079000
2023-05-17,271.74395751953125,273.405173217887,267.54316444086504,268.45969422589343,2486600
2023-05-18,274.4648742675781,274.88495639552735,271.3906527690136,271.65797511080405,1869700
2023-05-19,276.78485107421875,278.15966000201166,274.34075278835354,275.5341612926217,2213300
2023-05-22,277.7778015136719,278.5606554235688,275.791953257661,276.2693167047469,2044100
2023-05-23,275.0567932128906,277.863692298067,274.1211504725154,276.06880127642233,2219800
2023-05-25,278.55108642578125,279.8781414600764,272.2689680828714,275.44822448246344,3689600
2023-05-26,289.8550720214844,294.62870618146945,280.34600093286025,280.6896886071229,4578800
2023-05-30,294.4664001464844,304.4719481863069,291.1916939903038,292.34690533954307,6238600
2023-05-31,292.0700378417969,296.2994706074304,289.28222274339566,290.8861567877608,5270100
2023-06-01,291.3826599121094,292.23235169768327,286.5039903295759,291.8886640008541,2393700
2023-06-02,297.29241943359375,298.06574588146174,292.7383535339796,293.5785178565898,2272500
2023-06-05,290.6666259765625,293.4830529431769,288.2225273625717,291.5163177949805,3008000
2023-06-06,294.0940856933594,295.3065783808538,288.0984018603504,289.1676913384484,2419400
2023-06-07,296.9486999511719,297.8747861890567,293.2539115919253,295.46888494339555,2490000
2023-06-08,293.4161682128906,296.7959091691075,292.82424227157645,296.7959091691075,1870300
2023-06-09,294.7432861328125,297.08237866361895,292.7574670248908,295.13472765334495,2202600
2023-06-12,297.3783264160156,297.7315706848305,293.6167003380204,293.89355014355317,2642300
2023-06-13,300.8916931152344,303.09710962881746,299.20183721686317,301.0444528951471,3981900
2023-06-14,300.7866516113281,303.9467948300777,299.1158797950609,301.7127377263542,2421100
2023-06-15,309.11187744140625,310.3625671857342,301.0635377210809,304.72968504063175,3288900
2023-06-16,305.0734558105469,313.08359971913694,304.6438170314121,311.16461837435503,5266300
2023-06-20,303.03033447265625,306.1236696681286,300.7485521648883,302.89668784754315,3349400
2023-06-21,299.0204772949219,303.28810771136006,298.9154421850295,302.161507823924,3121400
2023-06-22,293.33984375,293.64536335450833,282.5991659886086,284.70910430633506,4889000
2023-06-23,284.919189453125,288.9863360512316,284.22225734650925,286.4372019818369,4233800
2023-06-26,283.9453125,287.23910261085314,283.0860641726449,283.1624294998972,2826900
2023-06-27,287.19134521484375,287.40138626080443,282.70411793111435,283.66840125156307,2054200
2023-06-28,288.0602111816406,288.4707367699045,284.29858473746776,286.87635910908296,2061700
2023-06-29,294.37091064453125,296.509518555963,286.5135274814284,287.7546607059236,2739400
2023-06-30,294.609619140625,298.5335619190264,294.3709374114458,295.4784241311516,2668500
2023-07-03,296.8914489746094,297.1778554131069,293.4926232699819,294.0559086896637,1172800
2023-07-05,295.8698425292969,297.8556906769283,291.220327470184,292.28008941557255,1924800
2023-07-06,294.0272216796875,294.485501044971,290.8575216256985,293.02477016707104,1375800
2023-07-07,291.9173278808594,297.1683262196396,291.4590484459857,292.84341420786427,1902800
